Date,LO_1,LO_2,OS_1,OS_2,DQS_1,DQS_2,Other
24-Dec-19,,,,,,,
25-Dec-19,,,,,,,
26-Dec-19,,,,,,,
27-Dec-19,Luke Tyas,,Mark Zhang,,Boris Gaensicke,,James Lasker
28-Dec-19,Luke Tyas,,Mark Zhang,,Boris Gaensicke,,James Lasker
29-Dec-19,Luke Tyas,,Mark Zhang,,Boris Gaensicke,,James Lasker
30-Dec-19,Martin Landriau,,Mark Zhang,,Boris Gaensicke,,James Lasker
31-Dec-19,Martin Landriau,,Mark Zhang,,Boris Gaensicke,,James Lasker
1-Jan-20,Martin Landriau,,Boris Gaensicke,,Duan Yutong,,
2-Jan-20,Martin Landriau,,Boris Gaensicke,,Duan Yutong,,
3-Jan-20,Martin Landriau,,Jay Farihi,,Duan Yutong,,
4-Jan-20,Martin Landriau,,Jay Farihi,,Duan Yutong,,
5-Jan-20,Martin Landriau,,Jay Farihi,,Lado Samushia,,
6-Jan-20,Martin Landriau,,Jay Farihi,,Lado Samushia,,
7-Jan-20,Martin Landriau,,Christopher James Manser,,Lado Samushia,,
8-Jan-20,Martin Landriau,,Christopher James Manser,,Lado Samushia,,
9-Jan-20,Elizabeth Buckley-Geer,,Christopher James Manser,,Benjamin Alan Weaver,,
10-Jan-20,Elizabeth Buckley-Geer,,Christopher James Manser,,Benjamin Alan Weaver,,
11-Jan-20,Elizabeth Buckley-Geer,,Abhijit Saha,,Kevin Fanning,,
12-Jan-20,Elizabeth Buckley-Geer,,Abhijit Saha,,Kevin Fanning,,
13-Jan-20,Elizabeth Buckley-Geer,,Abhijit Saha,,Christopher James Manser,,
14-Jan-20,Elizabeth Buckley-Geer,,Abhijit Saha,,Christopher James Manser,,Aaron Meisner
15-Jan-20,Elizabeth Buckley-Geer,,Aaron Meisner,,Christopher James Manser,,Connie Rockosi
16-Jan-20,Ann Elliott,,Aaron Meisner,,Christopher James Manser,,Connie Rockosi
17-Jan-20,Ann Elliott,,Aaron Meisner,,Etienne Burtin,,Connie Rockosi
18-Jan-20,Ann Elliott,,Connie Rockosi,,Etienne Burtin,,Daniel Eisenstein
19-Jan-20,Ann Elliott,,Benjamin Alan Weaver,,Etienne Burtin,,Daniel Eisenstein
20-Jan-20,Ann Elliott,,Benjamin Alan Weaver,,Etienne Burtin,,
21-Jan-20,Ann Elliott,,Benjamin Alan Weaver,,Martina Fagioli,,
22-Jan-20,Ann Elliott,,Benjamin Alan Weaver,,Martina Fagioli,,
23-Jan-20,Parker Fagrelius,,Rebecca Canning,,Martina Fagioli,,
24-Jan-20,Parker Fagrelius,,Rebecca Canning,,Martina Fagioli,,
25-Jan-20,Parker Fagrelius,,Rebecca Canning,,Susan Ridgway,,Paul Martini
26-Jan-20,Parker Fagrelius,,Rebecca Canning,,Susan Ridgway,,Paul Martini
27-Jan-20,Parker Fagrelius,,Emmanuel Schaan,,Susan Ridgway,,
28-Jan-20,Parker Fagrelius,,Emmanuel Schaan,,Susan Ridgway,,
29-Jan-20,Parker Fagrelius,,Emmanuel Schaan,,Laurie Stephey,,
30-Jan-20,Michael Schubnell,,Emmanuel Schaan,,Laurie Stephey,,
31-Jan-20,Michael Schubnell,,Pascale Berner,,Laurie Stephey,,
1-Feb-20,Michael Schubnell,,Pascale Berner,,Laurie Stephey,,
2-Feb-20,Michael Schubnell,,Pascale Berner,,Dustin Lang,,
3-Feb-20,Michael Schubnell,,Pascale Berner,,Dustin Lang,,
4-Feb-20,Michael Schubnell,,Jim Annis,,Dustin Lang,,
5-Feb-20,Michael Schubnell,,Jim Annis,,Dustin Lang,,
6-Feb-20,Satya Gontcho A Gontcho,,Jim Annis,,Antonella Palmese,,
7-Feb-20,Satya Gontcho A Gontcho,,Jim Annis,,Antonella Palmese,,
8-Feb-20,Satya Gontcho A Gontcho,,Shadab Alam,,Antonella Palmese,,
9-Feb-20,Satya Gontcho A Gontcho,,Shadab Alam,,Antonella Palmese,,
10-Feb-20,Satya Gontcho A Gontcho,,Shadab Alam,,Chia-Hsun Chuang,,
11-Feb-20,Satya Gontcho A Gontcho,,Shadab Alam,,Chia-Hsun Chuang,,
12-Feb-20,Satya Gontcho A Gontcho,,Jay Farihi,,Chia-Hsun Chuang,,
13-Feb-20,Claire Poppett,,Jay Farihi,,Chia-Hsun Chuang,,
14-Feb-20,Claire Poppett,,Jay Farihi,,Xinyi Chen,,
15-Feb-20,Claire Poppett,,Jay Farihi,,Xinyi Chen,,
16-Feb-20,Claire Poppett,,Michael Walther,,Xinyi Chen,,
17-Feb-20,Claire Poppett,,Michael Walther,,Xinyi Chen,,
18-Feb-20,Claire Poppett,,Michael Walther,,Yuanhang Ning,,
